start,end,value
2020-02-24 18:41:00,2020-02-25 05:30:00,13
2020-02-25 05:30:00,2020-02-25 07:55:00,12
2020-02-25 07:55:00,2020-02-25 08:47:00,11
2020-02-25 08:47:00,2020-02-25 19:14:00,12
2020-02-25 19:14:00,2020-02-25 21:24:00,11
2020-02-25 21:24:00,2020-02-26 01:29:00,10
2020-02-26 01:29:00,2020-02-26 05:31:00,11
2020-02-26 05:31:00,2020-02-26 05:59:00,10
2020-02-26 05:59:00,2020-02-26 08:59:00,11
2020-02-26 08:59:00,2020-02-26 16:11:00,12
2020-02-26 16:11:00,2020-02-26 19:55:00,13
2020-02-26 19:55:00,2020-02-26 20:11:00,12
2020-02-26 20:11:00,2020-02-26 21:05:00,13
2020-02-26 21:05:00,2020-02-26 22:59:00,14
2020-02-26 22:59:00,2020-02-26 23:35:00,15
2020-02-26 23:35:00,2020-02-27 00:23:00,16
2020-02-27 00:23:00,2020-02-27 02:11:00,17
2020-02-27 02:11:00,2020-02-27 08:03:00,18
2020-02-27 08:03:00,2020-02-27 11:12:00,17
2020-02-27 11:12:00,2020-02-27 13:41:00,16
2020-02-27 13:41:00,2020-02-27 19:47:00,17
2020-02-27 19:47:00,2020-02-27 20:35:00,18
2020-02-27 20:35:00,2020-02-28 03:23:00,17
2020-02-28 03:23:00,2020-02-28 06:19:00,18
2020-02-28 06:19:00,2020-02-28 08:47:00,17
2020-02-28 08:47:00,2020-02-28 13:57:00,16
2020-02-28 13:57:00,2020-02-28 17:31:00,15
2020-02-28 17:31:00,2020-02-28 23:35:00,14
2020-02-28 23:35:00,2020-02-29 05:34:00,15
2020-02-29 05:34:00,2020-02-29 06:04:00,14
2020-02-29 06:04:00,2020-02-29 08:24:00,13
2020-02-29 08:24:00,2020-02-29 12:41:00,12
2020-02-29 12:41:00,2020-02-29 14:59:00,13
2020-02-29 14:59:00,2020-02-29 15:05:00,14
2020-02-29 15:05:00,2020-02-29 16:58:00,15
2020-02-29 16:58:00,2020-02-29 19:35:00,14
2020-02-29 19:35:00,2020-02-29 20:41:00,15
2020-02-29 20:41:00,2020-02-29 21:47:00,16
2020-02-29 21:47:00,2020-02-29 22:00:00,17
2020-02-29 22:00:00,2020-03-01 10:32:00,16
2020-03-01 10:32:00,2020-03-01 10:55:00,15
2020-03-01 10:55:00,2020-03-01 15:29:00,14
2020-03-01 15:29:00,2020-03-01 16:05:00,15
2020-03-01 16:05:00,2020-03-01 22:45:00,16
2020-03-01 22:45:00,2020-03-02 01:10:00,15
