Time	Open	High	Low	Close	Volume
2018-11-14 07:00:00	1.80092	1.80217	1.7985	1.7987	16730
2018-11-14 08:00:00	1.79876	1.80254	1.79804	1.80194	15335
2018-11-14 09:00:00	1.80194	1.80375	1.8	1.80329	11799
2018-11-14 10:00:00	1.80333	1.80435	1.79405	1.79508	15388
2018-11-14 11:00:00	1.79505	1.79863	1.79132	1.7961	14801
2018-11-14 12:00:00	1.79603	1.79939	1.79496	1.79926	14581
2018-11-14 13:00:00	1.79926	1.79932	1.79293	1.79373	16124
2018-11-14 14:00:00	1.79371	1.79883	1.78982	1.79778	19377
2018-11-14 15:00:00	1.79779	1.80404	1.79576	1.80148	19659
2018-11-14 16:00:00	1.80146	1.80577	1.80101	1.80225	14848
2018-11-14 17:00:00	1.80225	1.80583	1.79036	1.79434	20050
2018-11-14 18:00:00	1.79434	1.7947	1.7861	1.79217	19586
2018-11-14 19:00:00	1.79217	1.80485	1.79099	1.79862	21227
2018-11-14 20:00:00	1.79872	1.802	1.79639	1.79704	15845
2018-11-14 21:00:00	1.79704	1.79849	1.79448	1.79448	6278
2018-11-14 22:00:00	1.79543	1.79728	1.79466	1.79533	3788
2018-11-14 23:00:00	1.79536	1.79692	1.79473	1.79499	6964
2018-11-15 00:00:00	1.79499	1.79576	1.78353	1.78446	9236
2018-11-15 01:00:00	1.78444	1.78858	1.78365	1.78837	9449
2018-11-15 02:00:00	1.78837	1.78863	1.78667	1.78786	9210
2018-11-15 03:00:00	1.78787	1.78874	1.78741	1.78778	8033
2018-11-15 04:00:00	1.78783	1.78871	1.78728	1.78746	7967
2018-11-15 05:00:00	1.78748	1.78905	1.78729	1.78875	9006
2018-11-15 06:00:00	1.78872	1.78975	1.78796	1.788	9219
2018-11-15 07:00:00	1.788	1.78908	1.78078	1.78133	17436
2018-11-15 08:00:00	1.78136	1.78182	1.76674	1.77035	20775
2018-11-15 09:00:00	1.77034	1.77051	1.75778	1.7595	24049
2018-11-15 10:00:00	1.75948	1.7644	1.75821	1.76231	22579
2018-11-15 11:00:00	1.76229	1.76493	1.75833	1.76345	20687
2018-11-15 12:00:00	1.76349	1.76726	1.75796	1.75902	20131
2018-11-15 13:00:00	1.75903	1.76376	1.75755	1.75757	22049
2018-11-15 14:00:00	1.75761	1.76244	1.75733	1.75987	21461
2018-11-15 15:00:00	1.75989	1.76206	1.75586	1.76127	19893
2018-11-15 16:00:00	1.76124	1.76201	1.75321	1.75385	20257
2018-11-15 17:00:00	1.75383	1.75918	1.75172	1.75461	17827
2018-11-15 18:00:00	1.75461	1.75548	1.75032	1.75032	14110
2018-11-15 19:00:00	1.75026	1.75525	1.75019	1.75443	13846
2018-11-15 20:00:00	1.75444	1.75706	1.7538	1.75522	12323
2018-11-15 21:00:00	1.75519	1.75674	1.75441	1.75442	5249
2018-11-15 22:00:00	1.7542	1.75574	1.7527	1.75383	4272
2018-11-15 23:00:00	1.75382	1.75609	1.75355	1.75541	5511
2018-11-16 00:00:00	1.75539	1.75739	1.75423	1.7552	7254
2018-11-16 01:00:00	1.75518	1.75663	1.75431	1.75655	8133
2018-11-16 02:00:00	1.7566	1.75976	1.75612	1.75932	8052
2018-11-16 03:00:00	1.75937	1.76089	1.75901	1.75931	7002
2018-11-16 04:00:00	1.75931	1.76094	1.75907	1.75971	4924
2018-11-16 05:00:00	1.75971	1.76082	1.75823	1.75877	7290
2018-11-16 06:00:00	1.75879	1.75997	1.75782	1.75863	6578
2018-11-16 07:00:00	1.75861	1.75983	1.75763	1.75947	13556
2018-11-16 08:00:00	1.75952	1.76309	1.75852	1.75948	15843
2018-11-16 09:00:00	1.75948	1.76752	1.75816	1.76295	18658
2018-11-16 10:00:00	1.76295	1.76777	1.76292	1.76611	15213
2018-11-16 11:00:00	1.76612	1.76748	1.76463	1.76617	12675
2018-11-16 12:00:00	1.76617	1.76933	1.76355	1.76871	13225
2018-11-16 13:00:00	1.76871	1.76956	1.7633	1.76471	20568
2018-11-16 14:00:00	1.76471	1.76507	1.75739	1.7604	20257
2018-11-16 15:00:00	1.7604	1.76045	1.75484	1.75582	18702
2018-11-16 16:00:00	1.75576	1.75614	1.7539	1.75605	16085
2018-11-16 17:00:00	1.75604	1.75605	1.74771	1.74835	13972
2018-11-16 18:00:00	1.74831	1.75192	1.74827	1.75039	11448
2018-11-16 19:00:00	1.75039	1.75081	1.74912	1.75033	9910
2018-11-16 20:00:00	1.75028	1.75061	1.74821	1.74885	9156
2018-11-16 21:00:00	1.74885	1.75063	1.7475	1.74865	5451
2018-11-18 22:00:00	1.75716	1.75716	1.75318	1.75465	4589
2018-11-18 23:00:00	1.75466	1.75482	1.75237	1.75367	8865
2018-11-19 00:00:00	1.75367	1.7544	1.75221	1.75331	5634
2018-11-19 01:00:00	1.75329	1.75478	1.75234	1.75261	6290
2018-11-19 02:00:00	1.75261	1.75416	1.75227	1.75391	4383
2018-11-19 03:00:00	1.75391	1.75559	1.75342	1.75542	4470
2018-11-19 04:00:00	1.75547	1.75603	1.75462	1.75502	4813
2018-11-19 05:00:00	1.75502	1.75586	1.75436	1.75566	5727
2018-11-19 06:00:00	1.75569	1.75598	1.75398	1.75539	7469
2018-11-19 07:00:00	1.75538	1.7583	1.75432	1.75756	9233
2018-11-19 08:00:00	1.75752	1.75941	1.75683	1.75936	12700
2018-11-19 09:00:00	1.7594	1.76066	1.75729	1.75998	12711
2018-11-19 10:00:00	1.7599	1.76087	1.75805	1.76054	11745
2018-11-19 11:00:00	1.76057	1.76455	1.75306	1.75525	14031
2018-11-19 12:00:00	1.75521	1.75817	1.75383	1.75778	14153
2018-11-19 13:00:00	1.75779	1.76292	1.75559	1.76276	12900
2018-11-19 14:00:00	1.76274	1.7629	1.75772	1.75807	13285
2018-11-19 15:00:00	1.75806	1.76236	1.75806	1.76202	16749
2018-11-19 16:00:00	1.76202	1.76347	1.76066	1.76132	13516
2018-11-19 17:00:00	1.7613	1.76539	1.76057	1.76231	11351
2018-11-19 18:00:00	1.76227	1.7637	1.76173	1.76267	8958
2018-11-19 19:00:00	1.76267	1.76352	1.76201	1.7633	10175
2018-11-19 20:00:00	1.76329	1.76332	1.762	1.76218	6737
2018-11-19 21:00:00	1.76213	1.76242	1.76109	1.76109	3219
2018-11-19 22:00:00	1.76093	1.76492	1.75993	1.7638	5131
2018-11-19 23:00:00	1.76384	1.76387	1.76163	1.76217	6799
2018-11-20 00:00:00	1.76215	1.76225	1.76037	1.76201	5467
2018-11-20 01:00:00	1.76207	1.76341	1.76071	1.76182	6034
2018-11-20 02:00:00	1.76182	1.7644	1.76175	1.76367	6072
2018-11-20 03:00:00	1.76366	1.76551	1.76338	1.76421	6824
2018-11-20 04:00:00	1.76421	1.76787	1.76396	1.76726	8570
2018-11-20 05:00:00	1.76729	1.76836	1.76643	1.76672	6468
2018-11-20 06:00:00	1.76674	1.76707	1.7643	1.76462	7864
2018-11-20 07:00:00	1.76459	1.76596	1.76266	1.7648	11389
2018-11-20 08:00:00	1.76492	1.76608	1.76096	1.76176	15011
2018-11-20 09:00:00	1.76177	1.7679	1.75949	1.76788	16674
2018-11-20 10:00:00	1.76791	1.77282	1.76711	1.77042	16320
